"home_ID","ADDRESS","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","BLOCK","LOT","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","lat","lon","num_schools","num_food","num_parks","num_subway","neighborhood_ord"
82,"243 WAVERLY PLACE, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",614,47,10014,1,0,"1","1,100","3,068",1899,1,"A4",8e+06,"6/19/19",40.7367505,-74.0018710241853,0,1,29,5,12
83,"244 WEST 121ST STREET, Manhattan","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS",1926,51,10027,3,0,"3","1,682","3,060",1910,1,"C0",2640000,"5/9/19",40.80694135,-73.9519101713045,1,2,63,2,5
84,"245 WATER STREET, Manhattan","SOUTHBRIDGE","02 TWO FAMILY DWELLINGS",97,55,10038,2,0,"2","2,820","13,015",1900,1,"B1",12300000,"8/14/19",40.70791295,-74.0022622537276,4,1,18,1,2
85,"248 CENTRAL PARK WEST, Manhattan","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1198,35,10024,1,0,"1","2,000","9,115",1901,1,"A5",16250000,"6/18/19",40.78457295,-73.9702304543436,4,0,10,2,8
86,"252 WEST 12 STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",615,21,10014,1,0,"1","1,764","4,073",1910,1,"A4",1.9e+07,"6/27/19",40.7376362,-74.0098109,0,1,10,0,12
87,"253 WEST 18TH STREET, Manhattan","CHELSEA","01 ONE FAMILY DWELLINGS",768,8,10011,1,0,"1","1,521","6,984",1901,1,"A4",12709140,"4/11/19",40.7421191,-74.0000170196133,9,2,20,6,11
88,"254 WEST 136TH STREET, Manhattan","HARLEM-CENTRAL","02 TWO FAMILY DWELLINGS",1941,155,10030,2,0,"2","1,665","3,332",1910,1,"B9",1075000,"6/17/19",40.8166634,-73.9452868149844,5,1,45,2,5
89,"255 WEST 11TH STREET, Manhattan","GREENWICH VILLAGE-WEST","03 THREE FAMILY DWELLINGS",623,43,10014,1,0,"1","1,400","3,520",1899,1,"C0",17450000,"10/25/19",40.7362674,-74.0036699,0,1,29,3,12
90,"26 EAST 78TH STREET, Manhattan","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS",1392,159,10075,2,0,"2","1,201","3,945",1910,1,"B9",7100000,"5/30/19",40.77565675,-73.9631110752475,0,0,13,1,15
91,"263 EAST 7TH STREET, Manhattan","ALPHABET CITY","03 THREE FAMILY DWELLINGS",377,56,10009,3,0,"3","2,430","3,600",1899,1,"C0",6300000,"4/30/19",40.7236251,-73.9774113952752,0,0,51,0,7
92,"268 WEST 139TH STREET, Manhattan","HARLEM-CENTRAL","02 TWO FAMILY DWELLINGS",2024,62,10030,2,0,"2","1,699","4,000",1910,1,"B2",10,"4/22/19",40.8187392,-73.9444304964707,6,0,52,1,5
93,"271 PLEASANT AVENUE, Manhattan","HARLEM-EAST","01 ONE FAMILY DWELLINGS",1708,24,10029,1,0,"1","928","2,501",1890,1,"A9",1,"4/1/19",40.79412265,-73.9341602155734,1,10,36,0,1
94,"272 WEST 91ST STREET, Manhattan","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1238,160,10024,1,0,"1","1,063","5,070",1920,1,"A4",5750000,"6/18/19",40.7917939,-73.9751949099693,0,0,24,2,8
95,"278 WEST 25TH STREET, Manhattan","CHELSEA","02 TWO FAMILY DWELLINGS",774,80,10001,2,0,"2","937","2,052",1900,1,"B9",4100000,"8/27/19",40.7462771,-73.9971913,1,2,23,3,11
96,"286 WADSWORTH AVENUE, Manhattan","WASHINGTON HEIGHTS UPPER","01 ONE FAMILY DWELLINGS",2170,22,10040,1,0,"1","2,248","1,914",1901,1,"A9",945000,"6/13/19",40.85397865,-73.9322456358587,0,0,19,1,6
97,"29 EAST 129TH STREET, Manhattan","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS",1754,14,10035,3,0,"3","1,699","2,852",1900,1,"C0",2265500,"7/17/19",40.80859795,-73.9390746851673,5,2,37,0,5
98,"3 EAST 94TH ST, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1506,6,10128,1,0,"1","2,517","7,110",1901,1,"A4",2.1e+07,"11/6/19",40.78653025,-73.9559958181455,0,1,16,1,15
99,"3 RIVERVIEW TERRACE, Manhattan","MIDTOWN EAST","01 ONE FAMILY DWELLINGS",1372,59,10022,1,0,"1","1,250","4,274",1899,1,"A4",6500000,"11/13/19",40.7579699,-73.9594922099604,0,0,22,0,13
100,"30 SULLIVAN STREET, Manhattan","SOHO","01 ONE FAMILY DWELLINGS",490,29,10012,1,0,"1","0","0",2015,1,"A7",12296500,"4/5/19",40.7245828333333,-74.0040657083333,3,0,30,4,14
101,"302 WEST 11TH STREET, Manhattan","GREENWICH VILLAGE-WEST","02 TWO FAMILY DWELLINGS",633,52,10014,2,1,"3","1,102","2,996",1910,1,"S2",13700000,"4/9/19",40.7357199,-74.0061833,0,1,29,1,12
102,"304 EAST 18TH STREET, Manhattan","KIPS BAY","03 THREE FAMILY DWELLINGS",923,61,10003,3,0,"3","1,716","4,437",1901,1,"C0",4e+06,"4/18/19",40.7344701,-73.982680245156,9,1,22,2,9
103,"310 EAST 81ST STREET, Manhattan","UPPER EAST SIDE (79-96)","03 THREE FAMILY DWELLINGS",1543,47,10028,3,0,"3","1,533","2,655",1925,1,"C0",10,"10/1/19",40.77426975,-73.9535986445941,1,1,0,1,15
